MapObject Profiler Snapshot
CopiedAt	2026-09-06 01:12:22
Enabled	True
Frame	19717
WindowMs	1016.083
VirtualBelt	NativeRendererActiveEnabled	49	
VirtualBelt	NativeRendererSuppressed	22872	
VirtualBelt	NativeSourceSuppressionEnabled	1	
VirtualBelt	NativeSourceObjectHidingEnabled	1	
VirtualBelt	SourceViewHiddenBelts	2009	
VirtualBelt	SourceViewHiddenObjects	2009	
VirtualBelt	VirtualizedBelts	2267	

Rows
Rank	Kind	Item	Type	ItemId	Active	Samples	TotalMs	AvgUs	MaxUs
1	Belt	Active Belt Tick [366]	ActiveConveyor	-1	0	44	349.755	7948.968	12876.6
2	Runtime	Conveyor Process Wake Queue [372]	ConveyorProcessWakeQueue	-1	0	44	345.617	7854.925	12856.6
3	Runtime	Conveyor Wake Line [372]	ConveyorWakeLine	-1	0	5937	141.167	23.778	536.7
4	Runtime	Virtual Belt Render [2,269]	VirtualConveyorBeltRenderer	-1	0	44	136.374	3099.416	4083.2
5	Runtime	Conveyor Wake Block [372]	ConveyorWakeBlock	-1	0	3579	132.283	36.961	688.2
6	Runtime	Conveyor Item Rebuild [2,419]	PortableItemRenderer	-1	0	44	69.977	1590.391	6860.6
7	Runtime	Conveyor Wake Corner Group [372]	ConveyorWakeCornerGroup	-1	0	4858	69.223	14.249	3107.5
8	Runtime	Conveyor Corner Group Tick [372]	ConveyorCornerGroupTick	-1	0	4858	61.774	12.716	3102.4
9	Runtime	Conveyor Item Reconcile Static Cache [2,419]	PortableItemRenderer	-1	0	13	60.474	4651.862	6034.8
10	Update	Robot arm [19]	RobotArm	59	19	797	35.758	44.865	1477.9
11	Runtime	Conveyor Line No Move [372]	ConveyorLineNoMove	-1	0	770	27.171	35.288	233.1
12	Runtime	Conveyor Item Render [2,419]	PortableItemRenderer	-1	0	44	18.389	417.932	605.6
13	Runtime	Conveyor Item Render Static [2,419]	PortableItemRenderer	-1	0	44	17.688	402	587.5
14	Runtime	Conveyor Line Blocker Scan [372]	ConveyorLineBlockerScan	-1	0	903	13.898	15.391	169.2
15	Runtime	Conveyor Line Retry Work [372]	ConveyorLineRetryWork	-1	0	956	13.174	13.78	102.4
16	Runtime	Conveyor Line Move Scan [372]	ConveyorLineMoveScan	-1	0	770	10.793	14.017	169
17	Runtime	Conveyor Item Refresh Active Set [2,419]	PortableItemRenderer	-1	0	44	8.677	197.205	873.9
18	Runtime	Conveyor Corner Group Collect [372]	ConveyorCornerGroupCollect	-1	0	4858	5.355	1.102	20.2
19	Runtime	Conveyor Safety Scan [372]	ConveyorSafetyScan	-1	0	44	3.427	77.88	1040.9
20	Belt	Belt Data Motion [48]	ConveyorDataMotion	-1	0	44	3.214	73.048	253.9
21	Update	Water pump [4]	Pump	53	4	41	1.98	48.302	123.8
22	Update	Steam generator [5]	SteamGenerator	56	5	51	1.353	26.531	74.3
23	Update	Funance [4]	InputOutputModule	30	4	34	0.683	20.082	208.9
24	Update	Boiler [2]	Boiler	55	2	21	0.64	30.471	52.2
25	Runtime	Conveyor Item Refresh Dirty Cache [2,419]	PortableItemRenderer	-1	0	44	0.552	12.539	127.9
26	Runtime	Installation Placement Update	InstallationPlacementController	-1	0	44	0.487	11.07	22.2
27	Runtime	Conveyor Item Rebuild Dynamic [2,419]	PortableItemRenderer	-1	0	44	0.472	10.72	55.3
28	Update	Sprinkler [1]	Sprinkler	57	1	4	0.43	107.6	126.8
29	Runtime	Conveyor Promote Deferred Wakes [372]	ConveyorPromoteDeferredWakes	-1	0	44	0.394	8.961	34.8
30	Update	Electric mining machine [5]	MiningMachine	48	5	50	0.313	6.25	30.7
31	Runtime	Conveyor Item Dynamic Cull [2,419]	PortableItemRenderer	-1	0	44	0.263	5.98	39.1
